point_id,region_code,aip_cycle,ident,point_type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,associated_airport,frequency_khz,dme_frequency_khz,dme_channel,usage_type,power,source_system,source_file
US-2605-airport-OR24,US,2605,OR24,airport,Barrett Field,45.821201,-118.498001,1738,US,OR24,,,,,,OurAirports,airports.csv
US-2605-airport-OR24,US,2605,OR24,airport,HTS Aurora Heliport,45.243228,-122.764503,192,US,OR24,,,,,,OurAirports,airports.csv
US-2605-airport-OR25,US,2605,OR25,airport,Flying E Airport,44.84479904174805,-122.9010009765625,325,US,OR25,,,,,,OurAirports,airports.csv
US-2605-airport-OR26,US,2605,OR26,airport,Legacy Silverton Medical Center Heliport,45.003924,-122.790568,318,US,OR26,,,,,,OurAirports,airports.csv
US-2605-airport-OR27,US,2605,OR27,airport,Chadwick Airport,45.633201599121094,-123.16799926757812,670,US,OR27,,,,,,OurAirports,airports.csv
US-2605-airport-OR28,US,2605,OR28,airport,Harvey's Acres Airport,45.439328,-122.890283,250,US,OR28,,,,,,OurAirports,airports.csv
US-2605-airport-OR29,US,2605,OR29,airport,Wild Billy Airport,42.492816,-121.32015,4508,US,OR29,,,,,,OurAirports,airports.csv
US-2605-airport-OR30,US,2605,OR30,airport,D M Stevenson Ranch Airport,44.00320053100586,-121.27200317382812,3800,US,OR30,,,,,,OurAirports,airports.csv
US-2605-airport-OR31,US,2605,OR31,airport,Sohler's Holly Hill Airport,45.413389,-122.993917,277,US,OR31,,,,,,OurAirports,airports.csv
US-2605-airport-OR32,US,2605,OR32,airport,Hooks Strip Airport,43.5922222,-118.773055,4133,US,OR32,,,,,,OurAirports,airports.csv
US-2605-airport-OR33,US,2605,OR33,airport,Central Cascades Fire and EMS Heliport,43.5267982483,-121.947998047,4750,US,OR33,,,,,,OurAirports,airports.csv
US-2605-airport-OR34,US,2605,OR34,airport,Whippet Field,44.322703,-121.431506,3040,US,OR34,,,,,,OurAirports,airports.csv
US-2605-airport-OR35,US,2605,OR35,airport,Flying K Bar J Ranch Airport,45.442505,-122.320204,635,US,OR35,,,,,,OurAirports,airports.csv
US-2605-airport-OR37,US,2605,OR37,airport,Lincoln Tower Heliport,45.445098876953125,-122.77400207519531,370,US,OR37,,,,,,OurAirports,airports.csv
US-2605-airport-OR38,US,2605,OR38,airport,Western Helicopter Services Airport,45.079309,-122.92594,183,US,OR38,,,,,,OurAirports,airports.csv
US-2605-airport-OR39,US,2605,OR39,airport,Flying Tom Airport,44.65760040283203,-123.21199798583984,300,US,OR39,,,,,,OurAirports,airports.csv
US-2605-airport-OR40,US,2605,OR40,airport,Dietz Airpark,45.255699157714844,-122.6510009765625,180,US,OR40,,,,,,OurAirports,airports.csv
US-2605-airport-OR41,US,2605,OR41,airport,Workman Airpark,45.207153,-122.669435,210,US,OR41,,,,,,OurAirports,airports.csv
US-2605-airport-OR42,US,2605,OR42,airport,Agape Farm Airport,44.060389,-120.798778,4003,US,OR42,,,,,,OurAirports,airports.csv
US-2605-airport-OR43,US,2605,OR43,airport,Hood River Fire Dept Heliport,45.7028999329,-121.529998779,488,US,OR43,,,,,,OurAirports,airports.csv
US-2605-airport-OR44,US,2605,OR44,airport,Grave-King Airport,42.675514,-123.189833,2570,US,OR44,,,,,,OurAirports,airports.csv
US-2605-airport-OR45,US,2605,OR45,airport,West Point Airport,44.19710159301758,-123.05599975585938,378,US,OR45,,,,,,OurAirports,airports.csv
US-2605-airport-OR46,US,2605,OR46,airport,Ajax Airport,45.381186,-120.46992,2165,US,OR46,,,,,,OurAirports,airports.csv
US-2605-airport-OR47,US,2605,OR47,airport,Strauch Field,44.188434,-123.189916,335,US,OR47,,,,,,OurAirports,airports.csv
US-2605-airport-OR48,US,2605,OR48,airport,Placer Airport,42.627716,-123.321986,1380,US,OR48,,,,,,OurAirports,airports.csv
US-2605-airport-OR49,US,2605,OR49,airport,Bay Area Hospital Heliport,43.382939,-124.232106,93,US,OR49,,,,,,OurAirports,airports.csv
US-2605-airport-OR50,US,2605,OR50,airport,Lehman Field,45.48569869995117,-122.23400115966797,1003,US,OR50,,,,,,OurAirports,airports.csv
