Arpt_ICAO	Procedure Type	Procedure Ident
F46	SID	NANDR4
F46	STAR	EESAT4
F46	STAR	FINGR1
F46	STAR	GREGS1
F46	STAR	HERBZ2
F46	STAR	JFRYE5
F46	STAR	LOADS4
F46	STAR	SLANT3
F46	STAR	SWVAY4
F46	STAR	YEAGR4
F49	SIAP	R18
F49	SIAP	R36
F51	SIAP	RNV-A
F53	SIAP	R13
F53	SIAP	R31
F56	SIAP	R17
F56	SIAP	R35
F70	SIAP	R18
F82	SIAP	R17
F82	SIAP	R35
F88	SIAP	R18
F88	SIAP	R36
F98	SIAP	R03
F98	SIAP	R21
F99	SIAP	R17
F99	SIAP	R35
FA54	STAR	LUBBR4
FA54	STAR	PIKKR7
G05	SIAP	RNV-A
H04	SIAP	RNV-A
H19	SIAP	R13
H19	SIAP	R31
H34	SIAP	R12
H34	SIAP	R30
H35	SIAP	R09
H35	SIAP	R27
H68	SIAP	R18
H68	SIAP	R36
H71	SIAP	R18
H71	SIAP	R36
H79	SIAP	R18
H79	SIAP	R36
H88	SIAP	R01
H88	SIAP	R19
H96	SIAP	R18
I10	SIAP	R23
I16	SIAP	R08
I16	SIAP	R26
I17	SIAP	R08
I17	SIAP	R26
I18	SIAP	R04
I18	SIAP	R22
I22	SIAP	R08
I22	SIAP	R26
I22	SIAP	VOR-A
I23	SIAP	R05
I23	SIAP	R23
I34	SIAP	R01
I34	SIAP	R19
I35	SIAP	RNV-A
I40	SIAP	R04
